customer_id,age,gender,education,income,purchase_amount,purchase_date,product_category,rating,discount_percent,shipping_cost,total_cost,discount_amount,final_price,price_per_rating,income_purchase_ratio,age_squared,spending_power_index,education_encoded,gender_Female,gender_Male,gender_Other,product_category_Books,product_category_Clothing,product_category_Electronics,product_category_Food,product_category_Home,age_group,income_bracket,purchase_category,rating_category,discount_tier,price_quartile,spending_ratio_bin,purchase_date_year,purchase_date_month,purchase_date_month_name,purchase_date_day,purchase_date_day_of_week,purchase_date_day_name,purchase_date_quarter,purchase_date_week_of_year,purchase_date_is_weekend,purchase_date_is_month_start,purchase_date_is_month_end,purchase_date_days_since_epoch,purchase_date_season,purchase_date_days_from_today,purchase_date_is_recent
14,39,Female,Master,107498,141.57,2025-08-29,Food,3.9,47.41,2.01,143.58,67.12,76.46,19.61,0.13,1521,2.76,2,1,0,0,0,0,0,1,0,36-50,High,Low,Good,High Discount,Q1,"(0.00901, 4.228]",2025,8,August,29,4,Friday,3,35,0,0,0,20329,Summer,172,0
15,42,Female,High School,132727,1888.55,2025-07-24,Electronics,2.4,24.34,45.07,1933.62,459.67,1473.95,614.15,1.42,1764,3.16,0,1,0,0,0,0,1,0,0,36-50,High,High,Fair,Low Discount,Q2,"(0.00901, 4.228]",2025,7,July,24,3,Thursday,3,30,0,0,0,20293,Summer,208,0
16,35,Female,Bachelor,146324,4054.66,2025-12-16,Food,2.1,35.12,27.87,4082.53,1424.0,2658.53,1265.97,2.77,1225,4.18,1,1,0,0,0,0,0,1,0,26-35,High,Very High,Fair,Medium Discount,Q3,"(0.00901, 4.228]",2025,12,December,16,1,Tuesday,4,51,0,0,0,20438,Winter,63,0
17,34,Female,Master,64131,4936.51,2025-06-05,Home,2.7,42.6,43.42,4979.93,2102.95,2876.98,1065.55,7.7,1156,1.89,2,1,0,0,0,0,0,0,1,26-35,Middle,Very High,Fair,High Discount,Q3,"(4.228, 8.426]",2025,6,June,5,3,Thursday,2,23,0,0,0,20244,Summer,257,0
18,78,Other,Master,80263,760.58,2025-03-23,Food,1.4,17.83,41.72,802.3,135.61,666.69,476.21,0.95,6084,1.03,2,0,0,1,0,0,0,1,0,65+,Upper-Middle,Medium,Poor,Low Discount,Q1,"(0.00901, 4.228]",2025,3,March,23,6,Sunday,1,12,1,0,0,20170,Spring,331,0
19,29,Male,Bachelor,36023,2974.71,2025-10-20,Books,4.0,13.07,41.65,3016.36,388.79,2627.57,656.89,8.26,841,1.24,1,0,1,0,1,0,0,0,0,26-35,Lower-Middle,Very High,Good,Low Discount,Q3,"(4.228, 8.426]",2025,10,October,20,0,Monday,4,43,0,0,0,20381,Fall,120,0
20,23,Other,Bachelor,61090,1910.65,2025-04-26,Food,1.1,47.33,34.91,1945.56,904.31,1041.25,946.59,3.13,529,2.66,1,0,0,1,0,0,0,1,0,18-25,Middle,High,Poor,High Discount,Q2,"(0.00901, 4.228]",2025,4,April,26,5,Saturday,2,17,1,0,0,20204,Spring,297,0
21,43,Male,PhD,87221,4849.87,2025-12-26,Books,3.6,36.32,14.57,4864.44,1761.47,3102.97,861.94,5.56,1849,2.03,3,0,1,0,1,0,0,0,0,36-50,Upper-Middle,Very High,Good,Medium Discount,Q4,"(4.228, 8.426]",2025,12,December,26,4,Friday,4,52,0,0,0,20448,Winter,53,0
22,44,Female,Master,84820,4212.17,2025-03-24,Home,1.7,10.98,16.81,4228.98,462.5,3766.48,2215.58,4.97,1936,1.93,2,1,0,0,0,0,0,0,1,36-50,Upper-Middle,Very High,Poor,Low Discount,Q4,"(4.228, 8.426]",2025,3,March,24,0,Monday,1,13,0,0,0,20171,Spring,330,0
23,25,Male,Master,20769,4193.26,2025-05-22,Home,1.9,22.45,15.42,4208.68,941.39,3267.29,1719.63,20.19,625,0.83,2,0,1,0,0,0,0,0,1,18-25,Low,Very High,Poor,Low Discount,Q4,"(16.822, 21.02]",2025,5,May,22,3,Thursday,2,21,0,0,0,20230,Spring,271,0
24,36,Other,High School,79735,2348.78,2025-06-22,Electronics,3.5,39.82,1.0,2349.78,935.28,1414.5,404.14,2.95,1296,2.21,0,0,0,1,0,0,1,0,0,36-50,Upper-Middle,Very High,Good,Medium Discount,Q2,"(0.00901, 4.228]",2025,6,June,22,6,Sunday,2,25,1,0,0,20261,Summer,240,0
25,77,Other,PhD,82955,2079.95,2025-06-20,Books,5.0,27.35,29.13,2109.08,568.87,1540.21,308.04,2.51,5929,1.08,3,0,0,1,1,0,0,0,0,65+,Upper-Middle,Very High,Excellent,Medium Discount,Q2,"(0.00901, 4.228]",2025,6,June,20,4,Friday,2,25,0,0,0,20259,Summer,242,0
26,59,Male,High School,84925,1374.3,2026-01-31,Books,4.1,32.5,34.94,1409.24,446.65,962.59,234.78,1.62,3481,1.44,0,0,1,0,1,0,0,0,0,51-65,Upper-Middle,High,Excellent,Medium Discount,Q1,"(0.00901, 4.228]",2026,1,January,31,5,Saturday,1,5,1,0,1,20484,Winter,17,1
27,18,Female,Master,141637,291.31,2025-08-15,Clothing,1.9,37.69,42.69,334.0,109.79,224.21,118.01,0.21,324,7.87,2,1,0,0,0,1,0,0,0,18-25,High,Low,Poor,Medium Discount,Q1,"(0.00901, 4.228]",2025,8,August,15,4,Friday,3,33,0,0,0,20315,Summer,186,0
28,74,Female,High School,87969,4324.96,2025-03-09,Clothing,1.7,31.1,7.01,4331.97,1345.06,2986.91,1757.01,4.92,5476,1.19,0,1,0,0,0,1,0,0,0,65+,Upper-Middle,Very High,Poor,Medium Discount,Q4,"(4.228, 8.426]",2025,3,March,9,6,Sunday,1,10,1,0,0,20156,Spring,345,0
29,46,Other,Master,25311,4066.38,2025-09-27,Clothing,4.5,27.0,27.21,4093.59,1097.92,2995.67,665.7,16.07,2116,0.55,2,0,0,1,0,1,0,0,0,36-50,Low,Very High,Excellent,Medium Discount,Q4,"(12.624, 16.822]",2025,9,September,27,5,Saturday,3,39,1,0,0,20358,Fall,143,0
30,62,Male,Master,123355,4998.59,2025-06-01,Food,2.8,37.48,0.4,4998.99,1873.47,3125.52,1116.26,4.05,3844,1.99,2,0,1,0,0,0,0,1,0,51-65,High,Very High,Fair,Medium Discount,Q4,"(0.00901, 4.228]",2025,6,June,1,6,Sunday,2,22,1,1,0,20240,Summer,261,0
31,66,Female,High School,124724,4983.22,2025-02-19,Clothing,1.5,36.38,4.75,4987.97,1812.9,3175.07,2116.71,4.0,4356,1.89,0,1,0,0,0,1,0,0,0,65+,High,Very High,Poor,Medium Discount,Q4,"(0.00901, 4.228]",2025,2,February,19,2,Wednesday,1,8,0,0,0,20138,Winter,363,0
32,52,Female,High School,103104,2781.6,2025-06-24,Books,4.4,31.49,2.71,2784.31,875.93,1908.38,433.72,2.7,2704,1.98,0,1,0,0,1,0,0,0,0,51-65,High,Very High,Excellent,Medium Discount,Q2,"(0.00901, 4.228]",2025,6,June,24,1,Tuesday,2,26,0,0,0,20263,Summer,238,0
33,57,Other,Bachelor,73707,3847.25,2025-04-20,Food,4.3,17.99,36.27,3883.52,692.12,3191.4,742.19,5.22,3249,1.29,1,0,0,1,0,0,0,1,0,51-65,Middle,Very High,Excellent,Low Discount,Q4,"(4.228, 8.426]",2025,4,April,20,6,Sunday,2,16,1,0,0,20198,Spring,303,0
34,31,Female,Bachelor,105305,4724.38,2025-04-26,Home,4.9,20.29,4.05,4728.43,958.58,3769.85,769.36,4.49,961,3.4,1,1,0,0,0,0,0,0,1,26-35,High,Very High,Excellent,Low Discount,Q4,"(4.228, 8.426]",2025,4,April,26,5,Saturday,2,17,1,0,0,20204,Spring,297,0
35,52,Male,Bachelor,48693,4249.74,2025-12-04,Electronics,4.6,48.52,35.82,4285.56,2061.97,2223.59,483.39,8.73,2704,0.94,1,0,1,0,0,0,1,0,0,51-65,Lower-Middle,Very High,Excellent,High Discount,Q3,"(8.426, 12.624]",2025,12,December,4,3,Thursday,4,49,0,0,0,20426,Winter,75,0
36,65,Other,Master,91932,1244.27,2025-08-14,Clothing,4.4,5.62,12.48,1256.75,69.93,1186.82,269.73,1.35,4225,1.41,2,0,0,1,0,1,0,0,0,51-65,Upper-Middle,High,Excellent,No Discount,Q2,"(0.00901, 4.228]",2025,8,August,14,3,Thursday,3,33,0,0,0,20314,Summer,187,0
37,62,Other,High School,286516,8242.69,2025-03-22,Home,1.2,13.43,43.89,8286.58,1106.99,7179.59,5982.99,2.88,3844,4.62,0,0,0,1,0,0,0,0,1,51-65,High,Very High,Poor,Low Discount,Q4,"(0.00901, 4.228]",2025,3,March,22,5,Saturday,1,12,1,0,0,20169,Spring,332,0
38,37,Male,PhD,113016,654.51,2025-06-17,Books,1.4,24.62,40.66,695.17,161.14,534.03,381.45,0.58,1369,3.05,3,0,1,0,1,0,0,0,0,36-50,High,Medium,Poor,Low Discount,Q1,"(0.00901, 4.228]",2025,6,June,17,1,Tuesday,2,25,0,0,0,20256,Summer,245,0
39,73,Other,Master,126970,4770.71,2025-10-11,Electronics,3.3,41.84,47.89,4818.6,1996.07,2822.53,855.31,3.76,5329,1.74,2,0,0,1,0,0,1,0,0,65+,High,Very High,Good,High Discount,Q3,"(0.00901, 4.228]",2025,10,October,11,5,Saturday,4,41,1,0,0,20372,Fall,129,0
40,66,Female,PhD,45658,3034.81,2025-04-09,Home,3.1,8.18,44.19,3079.0,248.25,2830.75,913.15,6.65,4356,0.69,3,1,0,0,0,0,0,0,1,65+,Lower-Middle,Very High,Good,No Discount,Q3,"(4.228, 8.426]",2025,4,April,9,2,Wednesday,2,15,0,0,0,20187,Spring,314,0
41,30,Female,High School,104478,1150.93,2025-05-11,Electronics,2.8,13.85,46.67,1197.6,159.4,1038.2,370.79,1.1,900,3.48,0,1,0,0,0,0,1,0,0,26-35,High,High,Fair,Low Discount,Q2,"(0.00901, 4.228]",2025,5,May,11,6,Sunday,2,19,1,0,0,20219,Spring,282,0
42,78,Male,Master,142537,3361.79,2025-12-01,Clothing,2.6,3.29,42.94,3404.73,110.6,3294.13,1266.97,2.36,6084,1.83,2,0,1,0,0,1,0,0,0,65+,High,Very High,Fair,No Discount,Q4,"(0.00901, 4.228]",2025,12,December,1,0,Monday,4,49,0,1,0,20423,Winter,78,0
43,55,Female,PhD,38431,3094.46,2025-12-08,Books,2.7,35.3,34.67,3129.13,1092.34,2036.79,754.37,8.05,3025,0.7,3,1,0,0,1,0,0,0,0,51-65,Lower-Middle,Very High,Fair,Medium Discount,Q3,"(4.228, 8.426]",2025,12,December,8,0,Monday,4,50,0,0,0,20430,Winter,71,0
44,66,Male,PhD,22747,1797.23,2025-05-31,Electronics,3.3,11.91,8.51,1805.74,214.05,1591.69,482.33,7.9,4356,0.34,3,0,1,0,0,0,1,0,0,65+,Low,High,Good,Low Discount,Q2,"(4.228, 8.426]",2025,5,May,31,5,Saturday,2,22,1,0,1,20239,Spring,262,0
45,63,Male,Bachelor,333669,8552.78,2025-08-11,Home,1.0,19.43,13.59,8566.37,1661.81,6904.56,6904.56,2.56,3969,5.3,1,0,1,0,0,0,0,0,1,51-65,High,Very High,Poor,Low Discount,Q4,"(0.00901, 4.228]",2025,8,August,11,0,Monday,3,33,0,0,0,20311,Summer,190,0
46,66,Female,Bachelor,79150,3361.15,2025-12-17,Clothing,2.0,22.19,10.64,3371.79,745.84,2625.95,1312.98,4.25,4356,1.2,1,1,0,0,0,1,0,0,0,65+,Upper-Middle,Very High,Poor,Low Discount,Q3,"(4.228, 8.426]",2025,12,December,17,2,Wednesday,4,51,0,0,0,20439,Winter,62,0
47,79,Male,Bachelor,85725,2606.34,2026-02-06,Clothing,3.1,44.57,30.18,2636.52,1161.65,1474.87,475.76,3.04,6241,1.09,1,0,1,0,0,1,0,0,0,65+,Upper-Middle,Very High,Good,High Discount,Q2,"(0.00901, 4.228]",2026,2,February,6,4,Friday,1,6,0,0,0,20490,Winter,11,1
48,25,Female,Master,149981,3863.87,2025-09-30,Home,3.9,20.57,25.18,3889.05,794.8,3094.25,793.4,2.58,625,6.0,2,1,0,0,0,0,0,0,1,18-25,High,Very High,Good,Low Discount,Q4,"(0.00901, 4.228]",2025,9,September,30,1,Tuesday,3,40,0,0,1,20361,Fall,140,0
49,60,Other,High School,104654,2605.62,2025-06-09,Home,1.7,7.26,43.35,2648.97,189.17,2459.8,1446.94,2.49,3600,1.74,0,0,0,1,0,0,0,0,1,51-65,High,Very High,Poor,No Discount,Q3,"(0.00901, 4.228]",2025,6,June,9,0,Monday,2,24,0,0,0,20248,Summer,253,0
50,37,Other,High School,55773,4262.39,2026-01-06,Electronics,3.2,26.22,47.63,4310.02,1117.6,3192.42,997.63,7.64,1369,1.51,0,0,0,1,0,0,1,0,0,36-50,Middle,Very High,Good,Medium Discount,Q4,"(4.228, 8.426]",2026,1,January,6,1,Tuesday,1,2,0,0,0,20459,Winter,42,0
51,77,Male,Bachelor,139346,2764.02,2026-02-01,Food,3.9,48.15,20.24,2784.26,1330.88,1453.38,372.66,1.98,5929,1.81,1,0,1,0,0,0,0,1,0,65+,High,Very High,Good,High Discount,Q2,"(0.00901, 4.228]",2026,2,February,1,6,Sunday,1,5,1,1,0,20485,Winter,16,1
52,50,Female,Bachelor,87435,2809.08,2025-12-17,Clothing,2.8,30.38,25.32,2834.4,853.4,1981.0,707.5,3.21,2500,1.75,1,1,0,0,0,1,0,0,0,36-50,Upper-Middle,Very High,Fair,Medium Discount,Q3,"(0.00901, 4.228]",2025,12,December,17,2,Wednesday,4,51,0,0,0,20439,Winter,62,0
53,43,Female,Bachelor,444325,13805.01,2025-06-10,Electronics,1.1,49.17,48.58,13853.59,6787.92,7065.67,6423.34,3.11,1849,10.33,1,1,0,0,0,0,1,0,0,36-50,High,Very High,Poor,High Discount,Q4,"(0.00901, 4.228]",2025,6,June,10,1,Tuesday,2,24,0,0,0,20249,Summer,252,0
54,56,Other,PhD,86803,2023.38,2025-05-02,Home,2.8,42.06,13.81,2037.19,851.03,1186.16,423.63,2.33,3136,1.55,3,0,0,1,0,0,0,0,1,51-65,Upper-Middle,Very High,Fair,High Discount,Q2,"(0.00901, 4.228]",2025,5,May,2,4,Friday,2,18,0,0,0,20210,Spring,291,0
55,38,Other,Bachelor,51551,678.74,2026-02-10,Electronics,2.2,1.8,39.62,718.36,12.22,706.14,320.97,1.32,1444,1.36,1,0,0,1,0,0,1,0,0,36-50,Middle,Medium,Fair,No Discount,Q1,"(0.00901, 4.228]",2026,2,February,10,1,Tuesday,1,7,0,0,0,20494,Winter,7,1
56,70,Female,PhD,136216,153.63,2025-03-30,Home,4.7,32.92,11.26,164.89,50.57,114.32,24.32,0.11,4900,1.95,3,1,0,0,0,0,0,0,1,65+,High,Low,Excellent,Medium Discount,Q1,"(0.00901, 4.228]",2025,3,March,30,6,Sunday,1,13,1,0,0,20177,Spring,324,0
57,66,Male,High School,31394,3778.13,2025-11-20,Books,1.5,14.34,34.07,3812.2,541.78,3270.42,2180.28,12.03,4356,0.48,0,0,1,0,1,0,0,0,0,65+,Lower-Middle,Very High,Poor,Low Discount,Q4,"(8.426, 12.624]",2025,11,November,20,3,Thursday,4,47,0,0,0,20412,Fall,89,0
58,79,Other,Master,89092,3105.34,2025-07-25,Home,3.6,27.98,12.68,3118.02,868.87,2249.15,624.76,3.49,6241,1.13,2,0,0,1,0,0,0,0,1,65+,Upper-Middle,Very High,Good,Medium Discount,Q3,"(0.00901, 4.228]",2025,7,July,25,4,Friday,3,30,0,0,0,20294,Summer,207,0
59,59,Male,Master,23890,3523.36,2025-05-02,Home,1.2,13.97,44.19,3567.55,492.21,3075.34,2562.78,14.75,3481,0.4,2,0,1,0,0,0,0,0,1,51-65,Low,Very High,Poor,Low Discount,Q4,"(12.624, 16.822]",2025,5,May,2,4,Friday,2,18,0,0,0,20210,Spring,291,0
60,60,Male,Master,61606,1072.69,2025-05-10,Home,2.8,17.44,28.07,1100.76,187.08,913.68,326.31,1.74,3600,1.03,2,0,1,0,0,0,0,0,1,51-65,Middle,High,Fair,Low Discount,Q1,"(0.00901, 4.228]",2025,5,May,10,5,Saturday,2,19,1,0,0,20218,Spring,283,0
61,71,Other,Master,116276,690.49,2025-10-23,Food,3.2,46.16,9.3,699.79,318.73,381.06,119.08,0.59,5041,1.64,2,0,0,1,0,0,0,1,0,65+,High,Medium,Good,High Discount,Q1,"(0.00901, 4.228]",2025,10,October,23,3,Thursday,4,43,0,0,0,20384,Fall,117,0
62,79,Male,PhD,473146,11103.66,2025-03-06,Home,2.2,10.33,11.22,11114.88,1147.01,9967.87,4530.85,2.35,6241,5.99,3,0,1,0,0,0,0,0,1,65+,High,Very High,Fair,Low Discount,Q4,"(0.00901, 4.228]",2025,3,March,6,3,Thursday,1,10,0,0,0,20153,Spring,348,0
63,58,Male,PhD,100038,1759.43,2025-08-27,Clothing,2.8,43.71,24.69,1784.12,769.05,1015.07,362.52,1.76,3364,1.72,3,0,1,0,0,1,0,0,0,51-65,High,High,Fair,High Discount,Q2,"(0.00901, 4.228]",2025,8,August,27,2,Wednesday,3,35,0,0,0,20327,Summer,174,0
64,26,Female,Bachelor,396749,9676.57,2025-12-04,Clothing,1.7,1.52,48.08,9724.65,147.08,9577.57,5633.86,2.44,676,15.26,1,1,0,0,0,1,0,0,0,26-35,High,Very High,Poor,No Discount,Q4,"(0.00901, 4.228]",2025,12,December,4,3,Thursday,4,49,0,0,0,20426,Winter,75,0
65,41,Male,PhD,30627,1967.3,2025-11-09,Electronics,2.2,4.54,38.48,2005.78,89.32,1916.46,871.12,6.42,1681,0.75,3,0,1,0,0,0,1,0,0,36-50,Lower-Middle,High,Fair,No Discount,Q2,"(4.228, 8.426]",2025,11,November,9,6,Sunday,4,45,1,0,0,20401,Fall,100,0
66,54,Female,Bachelor,28792,2193.0,2025-09-20,Food,3.5,42.73,24.42,2217.42,937.07,1280.35,365.81,7.62,2916,0.53,1,1,0,0,0,0,0,1,0,51-65,Low,Very High,Good,High Discount,Q2,"(4.228, 8.426]",2025,9,September,20,5,Saturday,3,38,1,0,0,20351,Fall,150,0
67,66,Other,Bachelor,128859,4521.75,2025-05-24,Electronics,2.2,31.53,16.89,4538.64,1425.71,3112.93,1414.97,3.51,4356,1.95,1,0,0,1,0,0,1,0,0,65+,High,Very High,Fair,Medium Discount,Q4,"(0.00901, 4.228]",2025,5,May,24,5,Saturday,2,21,1,0,0,20232,Spring,269,0
68,58,Other,Master,128557,1747.79,2025-12-09,Clothing,4.6,37.36,27.46,1775.25,652.97,1122.28,243.97,1.36,3364,2.22,2,0,0,1,0,1,0,0,0,51-65,High,High,Excellent,Medium Discount,Q2,"(0.00901, 4.228]",2025,12,December,9,1,Tuesday,4,50,0,0,0,20431,Winter,70,0
69,34,Female,PhD,93969,2574.81,2025-08-22,Clothing,3.5,10.47,37.42,2612.23,269.58,2342.65,669.33,2.74,1156,2.76,3,1,0,0,0,1,0,0,0,26-35,Upper-Middle,Very High,Good,Low Discount,Q3,"(0.00901, 4.228]",2025,8,August,22,4,Friday,3,34,0,0,0,20322,Summer,179,0
70,41,Other,PhD,63001,3920.43,2025-10-17,Books,2.8,26.85,39.2,3959.63,1052.64,2906.99,1038.21,6.22,1681,1.54,3,0,0,1,1,0,0,0,0,36-50,Middle,Very High,Fair,Medium Discount,Q3,"(4.228, 8.426]",2025,10,October,17,4,Friday,4,42,0,0,0,20378,Fall,123,0
71,38,Male,Bachelor,96552,1988.75,2025-05-01,Home,1.2,36.86,16.23,2004.98,733.05,1271.93,1059.94,2.06,1444,2.54,1,0,1,0,0,0,0,0,1,36-50,Upper-Middle,High,Poor,Medium Discount,Q2,"(0.00901, 4.228]",2025,5,May,1,3,Thursday,2,18,0,1,0,20209,Spring,292,0
72,68,Male,Bachelor,43897,3114.21,2025-05-09,Clothing,3.0,31.37,36.06,3150.27,976.93,2173.34,724.45,7.09,4624,0.65,1,0,1,0,0,1,0,0,0,65+,Lower-Middle,Very High,Fair,Medium Discount,Q3,"(4.228, 8.426]",2025,5,May,9,4,Friday,2,19,0,0,0,20217,Spring,284,0
73,76,Male,High School,88148,4313.19,2025-08-07,Electronics,4.1,23.58,32.89,4346.08,1017.05,3329.03,811.96,4.89,5776,1.16,0,0,1,0,0,0,1,0,0,65+,Upper-Middle,Very High,Excellent,Low Discount,Q4,"(4.228, 8.426]",2025,8,August,7,3,Thursday,3,32,0,0,0,20307,Summer,194,0
74,56,Other,High School,141729,4748.11,2025-07-05,Electronics,2.1,47.99,47.96,4796.07,2278.62,2517.45,1198.79,3.35,3136,2.53,0,0,0,1,0,0,1,0,0,51-65,High,Very High,Fair,High Discount,Q3,"(0.00901, 4.228]",2025,7,July,5,5,Saturday,3,27,1,0,0,20274,Summer,227,0
75,72,Male,Bachelor,144243,743.9,2025-05-19,Home,4.2,33.81,46.55,790.45,251.51,538.94,128.32,0.52,5184,2.0,1,0,1,0,0,0,0,0,1,65+,High,Medium,Excellent,Medium Discount,Q1,"(0.00901, 4.228]",2025,5,May,19,0,Monday,2,21,0,0,0,20227,Spring,274,0
76,58,Other,High School,140923,4633.67,2025-11-04,Home,2.0,45.39,39.47,4673.14,2103.22,2569.92,1284.96,3.29,3364,2.43,0,0,0,1,0,0,0,0,1,51-65,High,Very High,Poor,High Discount,Q3,"(0.00901, 4.228]",2025,11,November,4,1,Tuesday,4,45,0,0,0,20396,Fall,105,0
77,56,Male,High School,140174,2465.66,2026-01-28,Books,4.3,36.49,36.17,2501.83,899.72,1602.11,372.58,1.76,3136,2.5,0,0,1,0,1,0,0,0,0,51-65,High,Very High,Excellent,Medium Discount,Q2,"(0.00901, 4.228]",2026,1,January,28,2,Wednesday,1,5,0,0,0,20481,Winter,20,1
78,30,Female,Bachelor,43483,1298.64,2025-12-16,Food,1.3,36.77,13.7,1312.34,477.51,834.83,642.18,2.99,900,1.45,1,1,0,0,0,0,0,1,0,26-35,Lower-Middle,High,Poor,Medium Discount,Q1,"(0.00901, 4.228]",2025,12,December,16,1,Tuesday,4,51,0,0,0,20438,Winter,63,0
79,28,Other,Bachelor,144358,2301.09,2025-09-06,Electronics,4.5,4.0,42.3,2343.39,92.04,2251.35,500.3,1.59,784,5.16,1,0,0,1,0,0,1,0,0,26-35,High,Very High,Excellent,No Discount,Q3,"(0.00901, 4.228]",2025,9,September,6,5,Saturday,3,36,1,0,0,20337,Fall,164,0
80,63,Other,PhD,68555,4900.36,2026-01-22,Home,3.0,17.97,21.38,4921.74,880.59,4041.15,1347.05,7.15,3969,1.09,3,0,0,1,0,0,0,0,1,51-65,Middle,Very High,Fair,Low Discount,Q4,"(4.228, 8.426]",2026,1,January,22,3,Thursday,1,4,0,0,0,20475,Winter,26,1
